,FirstIng,FirstCategory,SecondIng,SecondCategory,CommonRec.n,CommonComp.n
0,corn flour,,salt,,0.1,0.0
1,corn flour,,water,,0.1,0.0
2,corn flour,,olive oil,plant derivative,0.1,0.0
3,corn flour,,onion,vegetable,0.1,0.0
4,corn flour,,garlic,vegetable,0.2,0.0
5,corn flour,,green pepper,,0.1,0.0
6,corn flour,,parsley,herb,0.1,0.0
7,corn flour,,pepper,spice,0.1,0.0
8,corn flour,,tomato,vegetable,0.1,0.0
9,corn flour,,anise,spice,0.2,0.0
10,corn flour,,cinnamon,spice,0.2,0.0
11,corn flour,,green leaves,,0.1,0.0
12,corn flour,,vegetable broth,,0.1,0.0
13,corn flour,,curry,,0.1,0.0
14,corn flour,,turmeric,spice,0.1,0.0
15,corn flour,,paprika,,0.1,0.0
16,corn flour,,cumin,spice,0.1,0.0
17,corn flour,,chicken,meat,0.1,0.0
18,corn flour,,potato,vegetable,0.1,0.0
19,corn flour,,pea,vegetable,0.1,0.0
20,corn flour,,red wine,alcoholic beverage,0.1,0.0
21,corn flour,,clove,spice,0.2,0.0
22,corn flour,,salted butter,,0.1,0.0
23,corn flour,,dried grapes,,0.1,0.0
24,corn flour,,sea almonds,,0.1,0.0
25,corn flour,,soy sauce,plant derivative,0.1,0.0
26,corn flour,,brown sugar,,0.1,0.0
27,corn flour,,albahaca,,0.1,0.0
28,corn flour,,Jie Mo,,0.1,0.0
29,corn flour,,mustard,plant derivative,0.1,0.0
30,corn flour,,honey,animal product,0.1,0.0
31,salt,,water,,0.2,0.0
32,salt,,butter,dairy,0.1,0.0
33,salt,,olive oil,plant derivative,0.2,0.0
34,salt,,onion,vegetable,0.1,0.0
35,salt,,garlic,vegetable,0.2,0.0
36,salt,,zucchini,vegetable,0.1,0.0
37,salt,,pumpkin,vegetable,0.1,0.0
38,salt,,green pepper,,0.2,0.0
39,salt,,parsley,herb,0.2,0.0
40,salt,,mint,herb,0.1,0.0
41,salt,,egg,animal product,0.1,0.0
42,salt,,ricotta,,0.2,0.0
43,salt,,pepper,spice,0.2,0.0
44,salt,,tomato,vegetable,0.1,0.0
45,salt,,anchova,,0.1,0.0
46,salt,,black olive,,0.1,0.0
47,salt,,red onion,,0.1,0.0
48,salt,,caper,,0.1,0.0
49,salt,,anise,spice,0.2,0.0
50,salt,,cinnamon,spice,0.2,0.0
51,salt,,green leaves,,0.1,0.0
52,salt,,thyme,herb,0.1,0.0
53,salt,,white pepper,,0.1,0.0
54,salt,,lemon,fruit,0.1,0.0
55,salt,,orange,fruit,0.1,0.0
56,salt,,fresh cheese,,0.1,0.0
57,salt,,clove,spice,0.1,0.0
58,salt,,salted butter,,0.1,0.0
59,salt,,dried grapes,,0.1,0.0
60,salt,,sea almonds,,0.1,0.0
61,salt,,soy sauce,plant derivative,0.1,0.0
62,salt,,brown sugar,,0.1,0.0
63,salt,,albahaca,,0.1,0.0
64,salt,,Jie Mo,,0.1,0.0
65,salt,,mustard,plant derivative,0.1,0.0
66,salt,,honey,animal product,0.1,0.0
67,water,,butter,dairy,0.1,0.0
68,water,,olive oil,plant derivative,0.6,0.0
69,water,,onion,vegetable,0.3,0.0
70,water,,garlic,vegetable,0.4,0.0
71,water,,zucchini,vegetable,0.1,0.0
72,water,,pumpkin,vegetable,0.2,0.0
73,water,,green pepper,,0.2,0.0
74,water,,parsley,herb,0.2,0.0
75,water,,mint,herb,0.1,0.0
76,water,,egg,animal product,0.3,0.0
77,water,,ricotta,,0.1,0.0
78,water,,pepper,spice,0.3,0.0
79,water,,tomato,vegetable,0.3,0.0
80,water,,black olive,,0.1,0.0
81,water,,red onion,,0.1,0.0
82,water,,caper,,0.1,0.0
83,water,,anise,spice,0.3,0.0
84,water,,cinnamon,spice,0.2,0.0
85,water,,green leaves,,0.2,0.0
86,water,,lemon,fruit,0.3,0.0
87,water,,orange,fruit,0.2,0.0
88,water,,fresh cheese,,0.1,0.0
89,water,,potato,vegetable,0.1,0.0
90,water,,red wine,alcoholic beverage,0.2,0.0
91,water,,clove,spice,0.5,0.0
92,water,,Qing Pi,,0.1,0.0
93,water,,salted butter,,0.1,0.0
94,water,,bacon,meat,0.1,0.0
95,water,,sugar,,0.3,0.0
96,water,,dried grapes,,0.1,0.0
97,water,,grated cheese,,0.1,0.0
98,water,,five spices,,0.3,0.0
99,water,,sea almonds,,0.2,0.0
100,water,,soy sauce,plant derivative,0.1,0.0
101,water,,brown sugar,,0.1,0.0
102,water,,albahaca,,0.1,0.0
103,water,,Jie Mo,,0.1,0.0
104,water,,mustard,plant derivative,0.1,0.0
105,water,,honey,animal product,0.2,0.0
106,water,,rice,cereal/crop,0.1,0.0
107,water,,anchovy,,0.1,0.0
108,water,,tuna,fish/seafood,0.1,0.0
109,water,,oregano,herb,0.1,0.0
110,water,,semolina,,0.1,0.0
111,water,,margarine,,0.1,0.0
112,water,,raclette,,0.1,0.0
113,water,,mandarin,fruit,0.2,0.0
114,water,,eggplant,,0.1,0.0
115,water,,celery salt,,0.1,0.0
116,water,,olive,fruit,0.1,0.0
117,water,,cocoa,plant derivative,0.2,0.0
118,water,,sesame,,0.1,0.0
119,water,,steak,,0.1,0.0
120,water,,veal,meat,0.1,0.0
121,butter,dairy,olive oil,plant derivative,0.1,0.008695652173913044
122,butter,dairy,onion,vegetable,0.1,0.13043478260869565
123,butter,dairy,garlic,vegetable,0.1,0.034782608695652174
124,butter,dairy,zucchini,vegetable,0.1,0.0
125,butter,dairy,pumpkin,vegetable,0.1,0.043478260869565216
126,butter,dairy,green pepper,,0.1,0.0
127,butter,dairy,parsley,herb,0.1,0.05217391304347826
128,butter,dairy,mint,herb,0.1,0.06956521739130435
129,butter,dairy,egg,animal product,0.1,0.24347826086956523
130,butter,dairy,ricotta,,0.1,0.0
131,butter,dairy,pepper,spice,0.1,0.043478260869565216
132,olive oil,plant derivative,onion,vegetable,0.6,0.017391304347826087
133,olive oil,plant derivative,garlic,vegetable,1.0,0.0
134,olive oil,plant derivative,zucchini,vegetable,0.1,0.0
135,olive oil,plant derivative,pumpkin,vegetable,0.2,0.0
136,olive oil,plant derivative,green pepper,,0.1,0.0
137,olive oil,plant derivative,parsley,herb,0.8,0.0
