First Ingredient,Second Ingredient,Normalized Common Recipe Weight,Normalized Common Compound weight
eggplant,salt,0.0,-1.0
eggplant,olive_oil,0.0,-1.0
eggplant,onion,0.0,-1.0
eggplant,garlic,0.0,-1.0
eggplant,green_bell_pepper,0.0,-1.0
eggplant,carrot,0.0,-1.0
eggplant,tomato,0.022222222222222223,-1.0
eggplant,celery_salt,0.022222222222222223,-1.0
eggplant,caper,0.022222222222222223,-1.0
eggplant,black_olive,0.0,-1.0
eggplant,thyme,0.0,-1.0
eggplant,basil,0.0,-1.0
eggplant,oregano,0.0,-1.0
eggplant,red_wine_vinegar,0.0,-1.0
eggplant,sugar,0.0,-1.0
eggplant,pepper,0.0,-1.0
eggplant,water,0.022222222222222223,-1.0
eggplant,butter,0.0,-1.0
eggplant,zucchini,0.0,-1.0
eggplant,pumpkin,0.0,-1.0
eggplant,green_pepper,0.0,-1.0
eggplant,parsley,0.0,-1.0
eggplant,mint,0.0,-1.0
eggplant,egg,0.0,-1.0
eggplant,ricotta,0.0,-1.0
eggplant,anchova,0.0,-1.0
eggplant,red_onion,0.0,-1.0
eggplant,anise,0.0,-1.0
eggplant,cinnamon,0.0,-1.0
eggplant,green_leaves,0.0,-1.0
eggplant,white_pepper,0.0,-1.0
eggplant,lemon,0.0,-1.0
eggplant,orange,0.0,-1.0
eggplant,fresh_cheese,0.0,-1.0
eggplant,corn_flour,0.0,-1.0
eggplant,vegetable_broth,0.0,-1.0
eggplant,curry,0.0,-1.0
eggplant,turmeric,0.0,-1.0
eggplant,paprika,0.0,-1.0
eggplant,cumin,0.0,-1.0
eggplant,chicken,0.0,-1.0
eggplant,potato,0.0,-1.0
eggplant,pea,0.0,-1.0
eggplant,red_wine,0.0,-1.0
eggplant,clove,0.0,-1.0
eggplant,pizza_dough,0.0,-1.0
eggplant,icing_sugar,0.0,-1.0
eggplant,Qing_Pi,0.0,-1.0
eggplant,salted_butter,0.0,-1.0
eggplant,orange_blossom,0.0,-1.0
eggplant,marzapane,0.0,-1.0
eggplant,salmon_eggs,0.0,-1.0
eggplant,white_meat,0.0,-1.0
eggplant,bacon,0.0,-1.0
eggplant,beef,0.0,-1.0
eggplant,pork,0.0,-1.0
eggplant,nutmeg,0.0,-1.0
eggplant,pasta,0.0,-1.0
eggplant,parmesan,0.0,-1.0
eggplant,puff_pastry,0.0,-1.0
eggplant,milk,0.0,-1.0
eggplant,schalotte,0.0,-1.0
eggplant,chilli,0.0,-1.0
eggplant,sweet_pepper,0.0,-1.0
eggplant,almond_milk,0.0,-1.0
eggplant,amarena,0.0,-1.0
