"Ing1","Ing2","Occurrence"
"plain flour","plain flour","7"
"plain flour","tbsp salt flakes","1"
"plain flour","water","4"
"plain flour","butter","1"
"plain flour","olive oil","4"
"plain flour","brown onion","1"
"plain flour","cloves garlic","1"
"plain flour","zucchini","1"
"plain flour","pumpkin","2"
"plain flour","frozen peas","2"
"plain flour","handful parsley","1"
"plain flour","handful mint","1"
"plain flour","eggs","1"
"plain flour","fresh ricotta","1"
"plain flour","sea salt and freshly ground black pepper","1"
"plain flour","crusty ciabatta rolls","0"
"plain flour","sun-dried tomato paste","0"
"plain flour","extra virgin olive oil","0"
"plain flour","white anchovies in oil","0"
"plain flour","black olives","1"
"plain flour","baby pickled onions","0"
"plain flour","tiny capers","0"
"plain flour","handful flat-leaf parsley leaves","0"
"plain flour","star anise","1"
"plain flour","cinnamon quill","0"
"plain flour","bay leaf","0"
"plain flour","sprigs thyme","0"
"plain flour","white peppercorns","0"
"plain flour","salt","0"
"plain flour","  lemon","0"
"plain flour","orange","1"
"plain flour","piece fresh tuna","0"
"plain flour","rabbit","1"
"plain flour","sea salt and freshly ground pepper","1"
"plain flour","vegetable oil","1"
"plain flour","onions","1"
"plain flour","head garlic","1"
"plain flour","tomato paste","1"
"plain flour","curry powder","1"
"plain flour","ground turmeric","1"
"plain flour","paprika","1"
"plain flour","ground cumin","1"
"plain flour","chicken stock","1"
"plain flour","potatoes","1"
"plain flour","podded peas","1"
"plain flour","parsley leaves","1"
"plain flour","ml olive oil","1"
"plain flour"," head garlic","1"
"plain flour","ml red wine","1"
"plain flour"," bay leaves","1"
"plain flour"," cinnamon sticks","1"
"plain flour"," star anise","1"
"plain flour"," cloves","1"
"plain flour","sourdough loaf","0"
"plain flour","tomato pesto","0"
"plain flour","red onion","0"
"plain flour","salted capers","0"
"plain flour","basil leaves","0"
"plain flour","pitted black olives","0"
"plain flour","pure icing sugar","1"
"plain flour","baking powder","2"
"plain flour","lemons","1"
"plain flour","cold unsalted butter","1"
"plain flour","egg yolks","1"
"plain flour","drops orange blossom water","1"
"plain flour","marzipan","1"
"plain flour","small Easter eggs","1"
"plain flour","egg whites","1"
"plain flour","Red and black food colouring","1"
"plain flour","onion","0"
"plain flour","garlic cloves","0"
"plain flour","bay leaves","0"
"plain flour","bacon","0"
"plain flour","minced beef","0"
"plain flour","minced pork","0"
"plain flour","chicken livers","0"
"plain flour","canned chopped tomatoes","0"
"plain flour","beef stock","0"
"plain flour","of grated nutmeg","0"
"plain flour","penne or other tubular pasta","0"
"plain flour","finely grated parmesan","0"
"plain flour","frozen puff pastry","0"
"plain flour","milk","0"
"plain flour","flat-leaf parsley","0"
"plain flour","eschalot","0"
"plain flour","baby capers","0"
"plain flour","lemon juice","0"
"plain flour","dried broad beans","0"
"plain flour","long red chilli","0"
"plain flour","lemon","1"
"plain flour","crackers and raw carrots","0"
"plain flour","ripe pears","0"
"plain flour","sweet dessert wine","0"
"plain flour","almond meal","0"
"plain flour","caster sugar","0"
"plain flour","unsalted butter","1"
"plain flour","amaretto","0"
"plain flour","grated lemon rind","1"
"plain flour","ice-cream or warm vanilla custard","0"
"plain flour","red apples","0"
"plain flour","dried figs","0"
"plain flour","apple juice","0"
"plain flour","finely grated rind of one lemon","0"
"plain flour","self-raising flour","0"
"plain flour","ground cinnamon","1"
"plain flour","mixed spice","1"
"plain flour","whipped cream","0"
"plain flour","boneless pork shoulder","1"
"plain flour","dried mint ","1"
"plain flour","flaked almonds","1"
"plain flour","whole cloves","1"
"plain flour","cinnamon sticks","1"
"plain flour","soy sauce","1"
"plain flour","fish sauce","1"
"plain flour","brown sugar","1"
"plain flour","sabaht baharat  (see note)","1"
"plain flour","minced garlic","1"
"plain flour","salt ","1"
"plain flour","ice-cold water ","1"
"plain flour","Kewpie mayonnaise","1"
"plain flour","Dijon mustard","1"
"plain flour","honey","2"
"plain flour","rabbit pieces","0"
"plain flour","large brown onion","0"
"plain flour","tin whole peeled tomatoes","0"
"plain flour","white wine","0"
"plain flour","sprigs of rosemary","0"
"plain flour","carrots","0"
"plain flour","mushrooms","0"
"plain flour","cooked white rice","0"
"plain flour","fresh peaches","0"
"plain flour","white flour","0"
"plain flour","wheat flour","0"
"plain flour","white sugar","0"
"plain flour","vanilla extract","0"
"plain flour","ice-cream or yoghurt","0"
"plain flour","pitted dates","0"
"plain flour","evaporated milk ","0"
"plain flour","whiskey","0"
"plain flour","plain biscuits","0"
"plain flour","roasted hazelnuts","0"
"plain flour","dried apricots","0"
"plain flour","good quality dark chocolate","0"
"plain flour","icing sugar","0"
"plain flour","rice","1"
"plain flour","chopped onions","1"
"plain flour","fresh mint","1"
"plain flour","anchovy fillets","1"
"plain flour","canned tuna","1"
"plain flour","sebago potatoes","0"
"plain flour","extra virgin olive oil ","0"
"plain flour","dried oregano ","0"
"plain flour","garfish","0"
"plain flour","olive oil ","0"
"plain flour","plain flour ","0"
"plain flour","semolina ","0"
"plain flour","margarine ","0"
"plain flour","orange juice or water ","0"
"plain flour","jar  of treacle ","0"
"plain flour","mandarin","0"
"plain flour","ground cloves ","0"
"plain flour","mixed spice ","0"
"plain flour","aniseed liqueur ","0"
"plain flour","hot water ","0"
"plain flour","semolina","0"
"plain flour","finely grated lemon rind","0"
"plain flour"," tsp vanilla essence","0"
"plain flour","wholemeal breadcrumbs","0"
"plain flour","skim milk","0"
"plain flour","chicken mince","0"
"plain flour","mixed herbs","0"
"plain flour","egg","1"
"plain flour","tomatoes","0"
"plain flour","Parsley to garnish","0"
"plain flour","eggplant","0"
"plain flour","celery stalks","0"
"plain flour","olives","0"
"plain flour","capers","0"
"plain flour"," water","0"
"plain flour","globe artichokes","0"
"plain flour","heads garlic","0"
"plain flour","finely chopped parsley","0"
"plain flour","green or black olives","0"
"plain flour","can tuna","0"
"plain flour","ground almonds","1"
"plain flour","sugar","2"
"plain flour","cocoa powder","1"
"plain flour","ground cloves","1"
