FirstIng,SecondIng,commonComp
298.0,998.0,1
298.0,1447.0,15
298.0,136.0,4
298.0,1080.0,0
298.0,575.0,5
298.0,251.0,6
298.0,166.0,8
298.0,848.0,28
298.0,1471.0,5
298.0,1240.0,54
298.0,707.0,2
298.0,439.0,8
298.0,675.0,6
298.0,1132.0,22
298.0,1257.0,40
298.0,849.0,1
298.0,579.0,1
298.0,1338.0,63
298.0,385.0,40
298.0,1088.0,30
298.0,619.0,58
298.0,1320.0,17
298.0,19.0,61
298.0,248.0,80
298.0,417.0,61
298.0,1356.0,7
298.0,749.0,1
298.0,396.0,74
298.0,1216.0,16
298.0,735.0,19
298.0,1399.0,33
298.0,1197.0,62
298.0,133.0,15
298.0,1183.0,1
298.0,1140.0,8
298.0,64.0,22
298.0,1428.0,69
298.0,112.0,4
298.0,260.0,51
298.0,205.0,45
298.0,1133.0,39
298.0,516.0,0
298.0,483.0,0
298.0,361.0,49
298.0,152.0,5
298.0,1120.0,36
298.0,296.0,45
298.0,1382.0,0
298.0,878.0,32
298.0,590.0,20
298.0,466.0,29
298.0,1251.0,3
298.0,1488.0,53
298.0,638.0,0
298.0,994.0,71
298.0,652.0,30
298.0,105.0,30
298.0,18.0,3
298.0,1469.0,11
298.0,1232.0,16
298.0,1370.0,11
998.0,1447.0,2
998.0,136.0,0
998.0,1080.0,0
998.0,575.0,0
998.0,251.0,0
998.0,166.0,0
998.0,848.0,0
998.0,1471.0,0
998.0,1240.0,1
998.0,707.0,0
998.0,439.0,0
998.0,675.0,0
998.0,1132.0,2
998.0,1257.0,2
998.0,849.0,0
998.0,579.0,0
998.0,1338.0,2
998.0,385.0,1
998.0,1088.0,0
998.0,619.0,2
998.0,1320.0,1
998.0,19.0,1
998.0,248.0,2
998.0,417.0,1
998.0,1356.0,0
998.0,749.0,0
998.0,396.0,1
998.0,1216.0,0
998.0,735.0,0
998.0,1399.0,0
998.0,1197.0,2
998.0,133.0,0
998.0,1183.0,0
998.0,1140.0,0
998.0,64.0,2
998.0,1428.0,2
998.0,112.0,0
998.0,260.0,1
998.0,205.0,0
998.0,1133.0,1
998.0,516.0,0
998.0,483.0,0
998.0,361.0,2
998.0,152.0,0
998.0,1120.0,1
998.0,296.0,0
998.0,1382.0,0
998.0,878.0,0
998.0,590.0,2
998.0,466.0,3
998.0,1251.0,0
998.0,1488.0,1
998.0,638.0,0
998.0,994.0,2
998.0,652.0,1
998.0,105.0,1
998.0,18.0,0
998.0,1469.0,0
998.0,1232.0,0
998.0,1370.0,0
1447.0,136.0,16
1447.0,1080.0,0
1447.0,575.0,5
1447.0,251.0,5
1447.0,166.0,1
1447.0,848.0,13
1447.0,1471.0,0
1447.0,1240.0,20
1447.0,707.0,0
1447.0,439.0,4
1447.0,675.0,0
1447.0,1132.0,7
1447.0,1257.0,13
1447.0,849.0,0
1447.0,579.0,0
1447.0,1338.0,20
1447.0,385.0,16
1447.0,1088.0,12
1447.0,619.0,15
1447.0,1320.0,3
1447.0,19.0,18
1447.0,248.0,30
1447.0,417.0,18
1447.0,1356.0,0
1447.0,749.0,0
1447.0,396.0,22
1447.0,1216.0,6
1447.0,735.0,3
1447.0,1399.0,7
1447.0,1197.0,16
1447.0,133.0,5
1447.0,1183.0,0
1447.0,1140.0,4
1447.0,64.0,10
1447.0,1428.0,19
1447.0,112.0,1
1447.0,260.0,15
1447.0,205.0,16
1447.0,1133.0,9
1447.0,516.0,0
1447.0,483.0,0
1447.0,361.0,13
1447.0,152.0,1
1447.0,1120.0,6
1447.0,296.0,16
1447.0,1382.0,0
1447.0,878.0,11
1447.0,590.0,6
1447.0,466.0,5
1447.0,1251.0,0
1447.0,1488.0,22
1447.0,638.0,0
1447.0,994.0,20
1447.0,652.0,9
1447.0,105.0,10
1447.0,18.0,3
1447.0,1469.0,5
1447.0,1232.0,6
1447.0,1370.0,6
136.0,1080.0,0
136.0,575.0,1
136.0,251.0,2
136.0,166.0,2
136.0,848.0,4
136.0,1471.0,1
136.0,1240.0,4
136.0,707.0,0
136.0,439.0,1
136.0,675.0,0
136.0,1132.0,1
136.0,1257.0,2
136.0,849.0,0
136.0,579.0,0
136.0,1338.0,7
136.0,385.0,5
136.0,1088.0,4
136.0,619.0,5
136.0,1320.0,1
136.0,19.0,5
136.0,248.0,9
136.0,417.0,5
136.0,1356.0,1
136.0,749.0,0
136.0,396.0,7
136.0,1216.0,2
136.0,735.0,1
136.0,1399.0,0
136.0,1197.0,2
136.0,133.0,1
136.0,1183.0,0
136.0,1140.0,3
136.0,64.0,1
136.0,1428.0,5
136.0,112.0,0
136.0,260.0,4
136.0,205.0,5
136.0,1133.0,2
136.0,516.0,0
136.0,483.0,0
136.0,361.0,4
136.0,152.0,1
136.0,1120.0,0
136.0,296.0,4
136.0,1382.0,0
136.0,878.0,2
136.0,590.0,1
136.0,466.0,2
136.0,1251.0,0
136.0,1488.0,6
136.0,638.0,0
136.0,994.0,6
136.0,652.0,2
136.0,105.0,3
136.0,18.0,0
136.0,1469.0,3
136.0,1232.0,4
136.0,1370.0,4
1080.0,575.0,0
1080.0,251.0,0
1080.0,166.0,0
1080.0,848.0,0
1080.0,1471.0,0
1080.0,1240.0,0
1080.0,707.0,0
1080.0,439.0,0
1080.0,675.0,0
1080.0,1132.0,0
1080.0,1257.0,0
1080.0,849.0,0
1080.0,579.0,0
1080.0,1338.0,0
1080.0,385.0,0
1080.0,1088.0,1
1080.0,619.0,1
1080.0,1320.0,0
1080.0,19.0,0
1080.0,248.0,1
1080.0,417.0,0
1080.0,1356.0,0
1080.0,749.0,0
1080.0,396.0,0
1080.0,1216.0,0
1080.0,735.0,0
1080.0,1399.0,0
1080.0,1197.0,1
1080.0,133.0,0
1080.0,1183.0,0
1080.0,1140.0,0
1080.0,64.0,0
1080.0,1428.0,1
1080.0,112.0,0
1080.0,260.0,0
1080.0,205.0,0
1080.0,1133.0,0
1080.0,516.0,0
1080.0,483.0,0
1080.0,361.0,0
1080.0,152.0,0
1080.0,1120.0,0
1080.0,296.0,0
1080.0,1382.0,0
1080.0,878.0,0
1080.0,590.0,0
1080.0,466.0,0
1080.0,1251.0,0
1080.0,1488.0,0
1080.0,638.0,0
1080.0,994.0,0
1080.0,652.0,0
1080.0,105.0,0
1080.0,18.0,0
1080.0,1469.0,0
1080.0,1232.0,0
1080.0,1370.0,0
575.0,251.0,2
575.0,166.0,2
575.0,848.0,7
575.0,1471.0,0
575.0,1240.0,8
575.0,707.0,0
575.0,439.0,1
575.0,675.0,1
575.0,1132.0,1
575.0,1257.0,2
575.0,849.0,0
575.0,579.0,0
575.0,1338.0,9
575.0,385.0,7
575.0,1088.0,8
575.0,619.0,6
575.0,1320.0,0
575.0,19.0,8
575.0,248.0,10
575.0,417.0,8
575.0,1356.0,0
575.0,749.0,0
575.0,396.0,5
575.0,1216.0,3
575.0,735.0,0
575.0,1399.0,2
575.0,1197.0,3
575.0,133.0,2
575.0,1183.0,0
575.0,1140.0,4
575.0,64.0,2
575.0,1428.0,7
575.0,112.0,1
575.0,260.0,7
575.0,205.0,5
575.0,1133.0,4
575.0,516.0,0
575.0,483.0,0
575.0,361.0,2
575.0,152.0,0
575.0,1120.0,2
575.0,296.0,8
575.0,1382.0,0
575.0,878.0,5
575.0,590.0,1
575.0,466.0,3
575.0,1251.0,0
575.0,1488.0,8
575.0,638.0,0
575.0,994.0,6
575.0,652.0,6
575.0,105.0,4
575.0,18.0,0
575.0,1469.0,3
575.0,1232.0,4
575.0,1370.0,2
251.0,166.0,10
251.0,848.0,5
251.0,1471.0,10
251.0,1240.0,10
251.0,707.0,4
251.0,439.0,9
251.0,675.0,7
251.0,1132.0,9
251.0,1257.0,13
251.0,849.0,5
251.0,579.0,8
251.0,1338.0,6
251.0,385.0,8
251.0,1088.0,6
251.0,619.0,6
251.0,1320.0,6
251.0,19.0,4
251.0,248.0,7
251.0,417.0,4
251.0,1356.0,9
251.0,749.0,0
251.0,396.0,4
251.0,1216.0,11
251.0,735.0,5
251.0,1399.0,4
251.0,1197.0,9
251.0,133.0,3
251.0,1183.0,0
251.0,1140.0,2
251.0,64.0,3
251.0,1428.0,8
251.0,112.0,7
251.0,260.0,6
251.0,205.0,6
251.0,1133.0,9
251.0,516.0,0
251.0,483.0,0
251.0,361.0,2
251.0,152.0,1
251.0,1120.0,10
251.0,296.0,6
251.0,1382.0,0
251.0,878.0,5
251.0,590.0,11
251.0,466.0,4
251.0,1251.0,0
251.0,1488.0,6
251.0,638.0,0
251.0,994.0,5
251.0,652.0,3
251.0,105.0,4
251.0,18.0,0
251.0,1469.0,1
251.0,1232.0,4
251.0,1370.0,5
166.0,848.0,5
166.0,1471.0,9
166.0,1240.0,13
166.0,707.0,5
166.0,439.0,10
166.0,675.0,12
166.0,1132.0,13
166.0,1257.0,16
166.0,849.0,5
166.0,579.0,6
166.0,1338.0,10
166.0,385.0,13
166.0,1088.0,7
166.0,619.0,10
166.0,1320.0,6
166.0,19.0,7
166.0,248.0,10
166.0,417.0,7
166.0,1356.0,10
166.0,749.0,0
166.0,396.0,6
166.0,1216.0,9
166.0,735.0,6
166.0,1399.0,6
166.0,1197.0,12
166.0,133.0,4
166.0,1183.0,0
166.0,1140.0,4
166.0,64.0,6
166.0,1428.0,13
166.0,112.0,9
166.0,260.0,13
166.0,205.0,9
166.0,1133.0,8
166.0,516.0,0
166.0,483.0,0
166.0,361.0,4
166.0,152.0,3
166.0,1120.0,12
166.0,296.0,8
166.0,1382.0,0
166.0,878.0,6
166.0,590.0,11
166.0,466.0,8
166.0,1251.0,1
166.0,1488.0,9
166.0,638.0,0
166.0,994.0,10
166.0,652.0,6
166.0,105.0,5
166.0,18.0,0
166.0,1469.0,6
166.0,1232.0,3
166.0,1370.0,2
848.0,1471.0,0
848.0,1240.0,24
848.0,707.0,0
848.0,439.0,3
848.0,675.0,2
848.0,1132.0,8
848.0,1257.0,13
848.0,849.0,0
848.0,579.0,0
848.0,1338.0,29
848.0,385.0,25
848.0,1088.0,17
848.0,619.0,19
848.0,1320.0,3
848.0,19.0,27
848.0,248.0,41
848.0,417.0,27
848.0,1356.0,1
848.0,749.0,0
848.0,396.0,32
848.0,1216.0,8
848.0,735.0,5
848.0,1399.0,8
848.0,1197.0,15
848.0,133.0,5
848.0,1183.0,0
848.0,1140.0,5
848.0,64.0,10
